description,evaluate,info,name,rank,star
两张绝世的脸。 ,291858人评价,"导演: 程小东 Siu-Tung Ching主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...
1987/香港/剧情 爱情 武侠 古装",倩女幽魂,111,8.6
恐怖分子的“秋菊打官司”。,257312人评价,"导演: 金秉祐 Byeong-woo Kim主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...
2013/韩国/剧情 犯罪 悬疑",恐怖直播,112,8.7
梦的勾结。,154693人评价,"导演: 今敏 Satoshi Kon主演: 林原惠美 Megumi Hayashibara / 古谷彻 T...
2006/日本/动画 悬疑 科幻 惊悚",红辣椒,113,8.9
那些静得只能听见呼吸的日子里，你明白孤独即生活。,156665人评价,"导演: 森淳一 Junichi Mori主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...
2014/日本/剧情",小森林 夏秋篇,114,8.9
我是一个演员。,362361人评价,"导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee主演: 周星驰 Stephen Ch...
1999/香港/喜剧 剧情 爱情",喜剧之王,115,8.6
和谐的生活离不开摸头与被摸头。,319659人评价,"导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders主演:...
2010/美国/喜剧 动画 奇幻 冒险",驯龙高手,116,8.7
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,209017人评价,"导演: 北野武 Takeshi Kitano主演: 北野武 Takeshi Kitano / 关口雄介 Yus...
1999/日本/剧情 喜剧",菊次郎的夏天,117,8.7
有时候幸福需要等一等。 ,249135人评价,"导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 汤姆·汉克斯 Tom Hanks...
2004/美国/喜剧 剧情 爱情",幸福终点站,118,8.7
幸福是生生不息，却难以触及的远。 ,225261人评价,"导演: 高畑勋 Isao Takahata主演: 辰己努 / 白石绫乃 / 志乃原良子
1988/日本/动画 剧情 战争",萤火虫之墓,119,8.7
曾经的那段美好会沉淀为一辈子的记忆。,242184人评价,"导演: 米林宏昌 Hiromasa Yonebayashi主演: 志田未来 Mirai Shida / 神木...
2010/日本/动画 奇幻 冒险",借东西的小人阿莉埃蒂,120,8.7
